anchor,host_name,IP,avg_rtt,min_rtt,max_rtt,location
IN-28,jio.in,150.222.14.37,27.48859672,25.57673438,29.11241028,Singapore
IN-39,airtel.in,203.193.135.2,1.756029201,1.224898973,1.378065409,Nagpur
IN-V2-164,paytm.in,10.219.29.42,3.745143673,3.319635037,4.133923395,Thiruvathapuram
IN-2,meghalaya.gov.in,10.21.248.1,5.873624377,4.47333705,7.526563738,Dumka
IN-V2-101,www.irctc.in,125.20.143.98,7.318402812,6.892501882,7.794588343,Mumbai
IN-12,hathway.net,136.232.27.246,35.00649942,35.30476647,34.59641254,Navi Mumbai
IN-V2-07,meghalaya.gov.in,192.168.37.25,4.353021247,4.491777598,4.791715754,Kolkata
IN-V2-07,meghalaya.gov.in,192.168.29.1,1.142121521,0.690427945,0.896279,Kolkata
IN-47,hathway.net,192.168.0.1,1.331658678,1.240395678,1.001759,Lucknow
IN-41,titan.co.in,172.16.4.152,17.9693812,17.15032731,18.32283795,Mumbai
IN-V2-249,iisc.ac.in,13.71.49.222,17.21934942,17.49777113,17.26707879,Pune
IN-28,iisc.ac.in,13.71.49.222,40.784772,40.42725873,40.38315836,Pune
IN-V2-139,google.com,142.250.239.228,25.1240356,24.91423453,25.60533223,Hubballi
IN-57,www.irctc.in,192.168.10.1,0.84925697,0.22,0.558686455,Kutabandh
IN-48,hathway.net,136.232.27.246,37.20503016,37.15198301,36.46485389,Navi Mumbai
IN-48,hathway.net,203.193.159.125,0.493384315,0.967649652,0.579794548,Dehradun
IN-V2-164,github.com,172.25.138.2,22.76805561,22.77608241,23.05816715,Thiruvathapuram
IN-39,airtel.in,203.193.135.2,0.908251998,0.743976643,1.779440085,Nagpur
IN-33,www.irctc.in,172.16.0.1,0.626087947,0.76114385,0.595122716,Pimpri-Chinchwad
IN-V2-249,108.117.11.94,115.117.125.241,3.649738449,2.782876039,4.377514297,Bangalore
IN-28,uidai.gov.in,203.193.158.20,23.85814981,23.42591548,23.98929273,Chennai
IN-V2-164,uidai.gov.in,121.244.53.25,1.516873473,2.163864872,1.878027647,Ernakulam
IN-V2-249,github.com,103.77.108.26,14.41088651,14.72881586,15.24817604,Bengaluru
IN-19,hathway.net,203.129.217.1,1.810962227,1.561305719,1.556014088,Ranchi
IN-48,hathway.net,14.140.206.25,2.102413044,1.960792621,1.576838695,New Delhi
IN-28,jio.in,203.193.158.20,23.11896321,21.98891811,24.36410641,Chennai
IN-28,jio.in,59.160.150.5,26.22493047,25.9620126,27.35779633,Ahmedabad
IN-V2-164,iisc.ac.in,192.168.9.254,0.232,0.224000254,0.375753136,Thiruvathapuram
IN-V2-134,iisc.ac.in,223.178.56.1,5.387738262,4.605861128,6.449868191,Bangalore
IN-V2-249,uidai.gov.in,59.144.94.26,5.269940976,5.473305081,5.500012524,Bangalore
IN-V2-07,hathway.net,136.232.27.246,38.79392905,39.25459733,39.95510965,Navi Mumbai
IN-28,uidai.gov.in,203.129.222.145,12.64646803,12.4601749,14.06397291,Chennai
IN-V2-249,jio.in,103.176.234.97,2.954812942,2.592171672,2.784493375,Bangalore
IN-V2-249,uidai.gov.in,103.176.234.137,2.959348193,2.880951224,3.770800951,Bangalore
IN-V2-198,uidai.gov.in,182.79.153.0,10.30063856,6.228407561,16.04475092,Gurugram
IN-47,hathway.net,192.168.0.1,0.778114681,1.423353791,1.174952062,Lucknow
IN-62,hathway.net,172.16.16.1,0.698511396,0.644586132,0.948303187,Bhopal
IN-28,airtel.in,192.168.0.1,0.864647221,0.299198096,1.01453881,Chennai
IN-V2-134,startupindia.gov.in,192.168.1.1,1.110894532,0.548167353,1.143339603,Bengaluru
IN-19,hathway.net,192.168.0.1,0.552454035,1.092596306,0.238,Ranchi
IN-V2-30,hathway.net,125.20.113.213,5.429811972,5.776869495,5.687658925,Gurgaon
IN-V2-101,www.irctc.in,182.19.109.69,31.9512473,30.80351355,33.6735442,Mumbai
IN-17,hathway.net,203.193.172.1,2.046748483,1.63924468,2.480558836,Patna
IN-V2-208,google.com,192.178.110.207,19.59661867,19.51769295,19.85614234,Mumbai
IN-V2-07,meghalaya.gov.in,172.26.110.148,3.686293643,2.93249879,3.859215116,Kolkata
IN-47,hathway.net,115.110.210.38,17.25743993,17.22108395,18.15657539,Delhi
IN-V2-164,metro.in,14.141.123.226,21.8026153,22.45120876,22.81186141,Chennai
IN-67,nesac.gov.in,192.168.1.1,1.434700834,0.796726279,1.248965804,Imphal
IN-V2-249,paytm.in,10.100.100.100,0.957217084,1.347405281,1.095644591,Bengaluru
IN-39,airtel.in,49.44.220.189,8.217555311,8.247748838,8.187676757,Navi Mumbai
IN-39,sbi.co.in,49.44.187.171,9.569452071,9.739062601,9.38845286,Chennai
IN-V2-208,airtel.in,192.168.0.1,1.245450758,0.466907558,0.238,Chennai
IN-V2-198,startupindia.gov.in,192.168.1.1,1.188860935,0.493903034,0.238,Bengaluru
IN-13,hathway.net,192.168.10.1,1.411026684,1.063172156,1.089097121,Siliguri
IN-19,hathway.net,192.168.0.1,0.817860113,1.215924986,0.790644629,Ranchi
IN-44,www.irctc.in,116.119.50.142,24.48560688,23.61551536,23.33743666,Delhi
IN-48,hathway.net,203.193.159.125,1.085842089,0.81104952,0.747566366,Dehradun
IN-47,www.irctc.in,115.113.247.57,1.934397463,2.336458271,2.774160033,Delhi
IN-44,hathway.net,192.168.10.1,1.128749163,0.612104137,0.616432906,Prayagraj
IN-V2-139,google.com,192.168.1.1,0.232,0.420463566,0.554673875,Hubballi
IN-V2-249,airtel.in,182.78.39.165,4.497837771,3.530757691,4.820929407,Mangalore
IN-V2-164,uidai.gov.in,192.168.9.254,0.496336665,0.772476456,0.509235457,Thiruvathapuram
IN-V2-249,uidai.gov.in,182.78.39.165,6.773205981,5.791489844,8.537185826,Mangalore
IN-V2-198,github.com,192.168.1.1,0.232,0.581833593,0.252808835,Bengaluru
IN-V2-208,uidai.gov.in,59.160.204.110,6.308575947,6.143839411,6.513491208,Bangalore
IN-V2-134,iisc.ac.in,223.178.56.1,5.080317365,4.684950782,5.739105379,Bangalore
IN-33,www.irctc.in,125.17.115.21,4.285706423,2.601514436,4.783859659,Delhi
IN-V2-139,google.com,192.168.1.1,0.550548069,0.646441044,0.390430038,Hubballi
IN-31,airtel.in,192.168.0.2,0.586453455,0.370997923,0.785250272,Coimbatore
IN-44,hathway.net,192.168.10.1,0.986649492,0.882523386,1.091852972,Prayagraj
IN-V2-101,www.irctc.in,182.19.109.69,32.11098526,31.57513367,33.33015425,Mumbai
IN-V2-249,github.com,192.168.1.1,1.35663948,2.182900328,1.822380377,Bengaluru
IN-V2-134,iisc.ac.in,192.168.1.1,0.771134095,0.374216114,1.226483011,Bengaluru
IN-V2-164,sbi.co.in,192.168.9.254,0.232,0.79551913,0.238,Thiruvathapuram
IN-12,hathway.net,182.79.164.37,36.04569795,35.69142643,37.1677604,Delhi
IN-V2-134,uidai.gov.in,223.178.56.1,6.161986177,5.411575752,7.066355802,Bangalore
IN-V2-134,github.com,192.168.1.1,0.367188621,0.59735798,0.400968477,Bengaluru
IN-V2-249,airtel.in,182.78.39.165,4.39345529,4.015054266,5.00099451,Mangalore
IN-13,hathway.net,192.168.10.1,0.394958501,0.946538037,1.300452119,Siliguri
IN-57,www.irctc.in,182.72.222.125,6.07409386,5.776427614,6.361867872,Bangalore
IN-28,github.com,203.129.222.145,11.57283056,11.65333679,12.36781527,Chennai
IN-V2-30,hathway.net,136.232.27.246,28.3050732,27.41592364,29.25098063,Navi Mumbai
IN-V2-208,sbi.co.in,192.168.0.1,0.444847336,0.652076167,0.249343205,Chennai
IN-54,hathway.net,192.168.0.1,0.987673411,1.165604088,1.604523678,Shillong
IN-48,hathway.net,136.232.27.246,37.64096403,36.44860631,37.24498965,Navi Mumbai
IN-31,sbi.co.in,182.79.245.225,16.63142486,17.01451236,17.24010477,Chennai
IN-V2-164,metro.in,121.244.53.25,1.55697902,1.577141902,1.498876709,Ernakulam
IN-44,www.irctc.in,116.119.50.142,23.77243531,24.25215614,23.91229978,Delhi
IN-39,metro.in,136.232.208.209,8.266014248,8.288095658,9.000872901,Chennai
IN-V2-249,github.com,103.77.108.26,15.26985699,14.69047711,15.43727677,Bengaluru
IN-V2-07,meghalaya.gov.in,192.168.29.1,0.804375586,1.279467596,1.458651694,Kolkata
IN-12,meghalaya.gov.in,116.119.72.56,7.372695016,5.447803302,9.655160866,Delhi
IN-V2-249,metro.in,103.176.234.97,2.679234435,2.377133223,2.19188753,Bangalore
IN-V2-139,google.com,116.119.158.147,26.08862515,25.5766452,25.27101589,Hubballi
IN-V2-07,meghalaya.gov.in,115.244.136.22,27.96908557,27.49105682,28.09686107,Sonipat
IN-V2-249,108.117.11.94,103.176.234.97,3.000346338,3.450627151,4.108228949,Bangalore
IN-13,hathway.net,192.168.10.1,0.393696374,1.571102759,0.970536033,Siliguri
IN-V2-51,hathway.net,116.119.109.76,6.110156281,4.946398443,6.096949099,Delhi
IN-2,hathway.net,172.16.13.2,10.5650967,10.58044738,10.63722995,Dumka
IN-31,jio.in,121.241.155.113,2.027536631,1.584365749,2.256637741,Ahmedabad
IN-V2-229,hathway.net,115.112.10.50,4.042562251,2.958155389,3.487715044,Kolkata
IN-40,titan.co.in,192.168.2.1,0.568156083,0.431795527,0.238,Gandhinagar
IN-39,uidai.gov.in,115.112.8.49,7.607303965,7.203404721,7.597797227,Chennai
IN-V2-164,iisc.ac.in,192.168.9.254,0.248623057,0.22,0.435432224,Thiruvathapuram
IN-V2-164,metro.in,180.87.37.33,22.88802732,22.18204385,24.06389296,Chennai
IN-2,meghalaya.gov.in,192.168.86.238,9.58491249,9.238445385,10.57595222,Jharkand
IN-31,sbi.co.in,203.129.254.17,0.333721398,0.888313871,1.330962658,Coimbatore
IN-2,hathway.net,172.16.13.2,10.18165239,10.62296117,11.15910735,Dumka
IN-28,sbi.co.in,192.168.0.1,0.74977514,1.310003288,1.332202355,Chennai
IN-62,titan.co.in,162.158.226.93,30.95545665,25.23177245,36.91539201,Mumbai
IN-39,sbi.co.in,136.232.208.209,9.363417037,9.427372893,8.987845215,Chennai
IN-13,hathway.net,116.119.104.88,28.34517625,27.5222142,28.95230422,Delhi
IN-V2-164,sbi.co.in,103.121.26.101,0.232,0.22,1.393653068,Thiruvathapuram
IN-41,hathway.net,136.232.27.246,13.20024069,12.2762802,13.02345439,Navi Mumbai
IN-12,nesac.gov.in,192.168.10.1,1.028950815,0.810239886,0.890566936,Haldia
IN-31,iisc.ac.in,51.10.44.156,19.4335313,19.73395335,19.33985879,Chennai
IN-28,jio.in,192.168.0.1,0.580138162,0.511059352,0.680663539,Chennai
IN-V2-139,google.com,72.14.232.50,38.97246266,37.58179217,39.87214641,Hubballi
IN-39,airtel.in,192.168.5.100,0.651601939,1.171548903,1.059465734,Puducherry
IN-41,hathway.net,136.232.27.246,12.08762569,12.53475858,12.013153,Navi Mumbai
IN-31,metro.in,192.168.0.2,0.861215658,0.686657844,1.397875962,Coimbatore
IN-48,hathway.net,203.193.159.125,0.675841557,0.755198236,1.106971385,Dehradun
IN-V2-208,sbi.co.in,192.168.0.1,0.54303031,0.565031471,0.638108089,Chennai
IN-41,hathway.net,136.232.27.246,12.4403589,12.35836544,12.38715581,Navi Mumbai
IN-33,www.irctc.in,172.16.0.1,0.689093414,0.561372672,0.281002736,Pimpri-Chinchwad
IN-V2-249,metro.in,182.78.39.165,4.599455894,4.607991043,4.360087079,Mangalore
IN-V2-134,uidai.gov.in,59.144.94.26,6.830715427,5.52776084,6.846852857,Bangalore
IN-2,hathway.net,172.16.13.2,10.76866843,10.61363377,11.30257723,Dumka
IN-V2-249,airtel.in,10.100.100.100,0.680097201,1.307930921,1.33620927,Bengaluru
IN-V2-249,metro.in,10.100.100.100,1.334839381,0.353267262,0.916719702,Bengaluru
IN-47,hathway.net,192.168.0.1,1.397062361,1.272955971,0.748819916,Lucknow
IN-V2-164,uidai.gov.in,121.244.53.25,1.689963512,1.511041862,2.58224112,Ernakulam
IN-39,sbi.co.in,136.232.208.209,9.27720366,9.825832058,9.74238006,Chennai
IN-39,uidai.gov.in,115.112.8.49,8.252513585,7.778530979,7.704261887,Chennai
IN-V2-134,airtel.in,223.178.56.1,17.94615772,4.865457863,32.00407606,Bangalore
IN-V2-07,hathway.net,172.16.19.1,3.240009819,3.286786576,3.482175246,Kolkata
IN-31,iisc.ac.in,59.144.62.33,2.258632949,1.455183237,2.243557009,Thiruvathapuram
IN-17,hathway.net,192.168.2.1,1.150141417,1.047035527,1.006417018,Patna
IN-44,hathway.net,116.119.72.48,26.61488019,18.88798404,34.19041444,Delhi
IN-V2-198,airtel.in,125.18.215.57,4.856223433,3.296886392,4.915355939,Bangalore
IN-V2-249,jio.in,10.100.100.100,0.883718627,0.862959028,0.858968615,Bengaluru
IN-39,jio.in,3.33.130.190,7.678155311,8.106122579,8.402917052,Seattle
IN-28,metro.in,203.129.222.145,11.87444826,11.94992767,12.02520262,Chennai
IN-V2-30,hathway.net,136.232.27.246,26.88141727,25.58366606,28.2506123,Navi Mumbai
IN-V2-139,google.com,216.239.48.64,37.15086178,37.38985298,37.18861525,Hubballi
IN-28,metro.in,192.168.0.1,0.232,1.146392455,0.238,Chennai
IN-48,hathway.net,203.193.159.125,0.562734228,0.292752339,0.509366179,Dehradun
IN-V2-51,hathway.net,192.168.1.1,0.232,0.84565306,0.672367015,Greater Noida
IN-V2-134,iisc.ac.in,51.10.44.158,9.856825758,9.828544077,11.93879837,Chennai
IN-V2-229,meghalaya.gov.in,192.168.7.1,1.084622466,0.647146401,1.056818489,Kolkata
IN-V2-208,metro.in,180.87.37.33,2.009395187,2.016267238,2.151447948,Chennai
IN-V2-249,airtel.in,10.100.100.100,1.236287818,1.348606657,0.773411531,Bengaluru
IN-V2-07,meghalaya.gov.in,192.168.37.25,5.103315586,4.805404317,4.608167516,Kolkata
IN-V2-139,google.com,216.239.48.64,37.07535761,37.03241355,37.97875691,Hubballi
IN-48,hathway.net,136.232.27.246,37.13687973,36.59486907,37.30964118,Navi Mumbai
IN-39,uidai.gov.in,59.160.204.110,15.05448507,13.36289338,17.3404961,Bangalore
IN-31,startupindia.gov.in,192.168.0.2,0.804254688,1.428755255,0.920702758,Coimbatore
IN-V2-249,metro.in,103.176.234.97,2.941879128,2.117008017,2.379084404,Bangalore
IN-V2-198,github.com,104.44.11.254,25.31045174,24.78053217,25.44896953,Bengaluru
IN-V2-249,metro.in,103.176.234.137,2.908254296,2.950905576,3.279514562,Bangalore
IN-V2-249,108.117.11.94,103.176.234.97,2.801713726,2.817982651,3.298070729,Bangalore
IN-V2-51,hathway.net,125.22.133.21,5.093821926,4.456592401,4.610528834,Faridabad
IN-V2-134,airtel.in,192.168.1.1,0.657420802,0.911528558,1.148912743,Bengaluru
IN-V2-249,jio.in,52.95.67.96,14.53478136,15.11820548,15.73169344,Mumbai City
IN-28,metro.in,203.193.158.20,24.27297527,23.49483616,25.07383197,Chennai
IN-V2-07,meghalaya.gov.in,192.168.37.25,3.91538756,4.21445135,5.350398618,Kolkata
IN-33,www.irctc.in,172.16.0.1,0.36627714,0.22,0.951227459,Pimpri-Chinchwad
IN-V2-164,jio.in,14.141.123.226,22.08801667,21.89633806,22.45972295,Chennai
IN-V2-134,metro.in,192.168.1.1,0.526643053,0.22,0.715878074,Bengaluru
IN-V2-249,iisc.ac.in,103.176.234.97,3.756877988,2.518585194,3.160797757,Bangalore
IN-57,www.irctc.in,116.119.72.92,6.82150906,4.763125636,8.172354023,Delhi
IN-V2-30,hathway.net,136.232.27.246,28.00304582,27.87539416,29.25305741,Navi Mumbai
IN-V2-101,www.irctc.in,192.168.1.1,0.469901695,0.454607108,0.238,Pimpri-Chinchwad
IN-13,hathway.net,116.119.104.88,28.27358546,27.31908942,29.05696169,Delhi
IN-V2-208,metro.in,14.141.123.226,2.705686083,1.575442837,4.579174129,Chennai
IN-44,hathway.net,61.246.138.73,23.59458762,24.1495731,24.25938677,Allahabad
IN-57,hathway.net,192.168.10.1,1.373173956,1.172410631,0.238,Kutabandh
IN-V2-51,hathway.net,116.119.109.76,5.69949625,4.904453238,6.543250783,Delhi
IN-47,hathway.net,203.190.147.33,1.752873263,1.74653462,1.460508494,Noida
IN-31,metro.in,192.168.0.2,1.294164222,0.833804123,0.654804782,Coimbatore
IN-40,hathway.net,203.129.213.253,0.452182081,0.349793673,1.259171874,Ghandinagar
IN-2,hathway.net,172.26.104.52,7.392893627,7.050333634,8.45607725,Dumka
IN-V2-139,google.com,72.14.232.50,38.3783807,38.12011087,39.83242157,Hubballi
IN-V2-249,108.117.11.94,103.176.234.97,2.72676163,2.83450895,3.490023041,Bangalore
IN-V2-51,hathway.net,49.44.187.164,6.550203546,6.120416201,6.447325992,Chennai
IN-28,uidai.gov.in,59.160.204.110,35.11865558,34.21441714,34.66044762,Bangalore
IN-19,hathway.net,125.16.149.129,7.417840595,7.25754075,7.982563369,Ranchi
IN-V2-198,uidai.gov.in,182.79.153.0,10.16857458,5.83271865,15.28728641,Gurugram
IN-31,sbi.co.in,116.119.36.61,13.86342319,13.37695558,14.54353535,Chennai
IN-19,hathway.net,192.168.0.1,0.999351391,1.492616138,1.438997568,Ranchi
IN-39,jio.in,203.193.135.2,1.112994692,1.192699518,1.319852615,Nagpur
IN-V2-139,google.com,223.190.228.1,8.185234603,7.880284766,9.537198072,Hubballi
IN-39,airtel.in,49.44.220.189,8.39973279,8.233054941,8.46659515,Navi Mumbai
IN-V2-30,hathway.net,125.20.113.213,6.376342472,5.160202108,6.605290727,Gurgaon
IN-V2-198,airtel.in,125.18.215.57,4.000524212,3.640585064,5.562264167,Bangalore
IN-V2-249,metro.in,103.176.234.97,2.261479317,1.857142812,3.083301238,Bangalore
IN-47,www.irctc.in,115.113.247.57,2.429628399,2.152403552,2.631481238,Delhi
IN-V2-249,sbi.co.in,10.100.100.100,0.933941249,1.255266729,0.487810544,Bengaluru
IN-V2-164,iisc.ac.in,13.71.49.222,33.50214847,33.24031681,33.94718014,Pune
IN-V2-208,iisc.ac.in,13.71.49.222,17.84490476,17.98985648,17.72878517,Pune
IN-V2-51,171.76.87.191,192.168.1.1,0.464876371,0.22,0.694494915,Greater Noida
IN-39,sbi.co.in,192.168.5.100,1.605772722,1.600099857,0.80761873,Puducherry
IN-2,hathway.net,136.232.27.246,33.56164708,32.65238027,34.58870297,Navi Mumbai
IN-41,titan.co.in,136.232.113.217,6.583107528,6.223534166,7.34801029,Sarkhej
IN-V2-164,github.com,121.241.155.242,29.57199676,21.62842563,36.5435246,Thiruvathapur
IN-31,iisc.ac.in,203.129.254.17,0.825048793,1.445906717,0.538489759,Coimbatore
IN-31,jio.in,121.241.155.113,1.892366815,1.112171422,1.435449254,Ahmedabad
IN-44,www.irctc.in,116.119.72.48,31.59368933,23.72238594,39.07080403,Delhi
IN-2,hathway.net,192.168.86.240,8.352425702,8.016988333,9.392391222,Dumka
IN-39,jio.in,203.193.135.2,1.351921991,1.948692436,1.690227421,Nagpur
IN-28,metro.in,192.168.0.1,0.232,0.62391448,0.719310907,Chennai
IN-31,github.com,192.168.0.2,0.506252157,0.87732289,0.878366066,Coimbatore
IN-V2-249,iisc.ac.in,103.176.234.97,2.744740453,2.460161809,3.170910479,Bangalore
IN-V2-208,metro.in,14.141.123.226,2.864119679,0.599486739,4.608681088,Chennai
IN-V2-208,google.com,72.14.212.80,1.645760823,1.328999907,0.69807377,Mountain View
IN-V2-198,github.com,192.168.1.1,0.232,0.232413303,0.765034588,Bengaluru
IN-V2-51,hathway.net,136.232.27.246,33.75130988,33.00315201,34.62675688,Navi Mumbai
IN-44,hathway.net,61.246.138.73,21.24582334,19.7749245,23.52812599,Allahabad
IN-17,www.irctc.in,203.193.172.1,1.932008419,1.625765296,2.638323102,Patna
IN-V2-30,hathway.net,116.119.109.16,5.510585553,4.960238168,5.341352777,Delhi
IN-V2-249,108.117.11.94,115.117.125.241,3.248253654,2.77832194,4.692177474,Bangalore
IN-V2-208,google.com,142.250.62.66,2.196432275,0.946239286,2.09790542,Chennai
IN-57,www.irctc.in,116.119.72.92,6.794078073,5.460191327,7.457598866,Delhi
IN-39,jio.in,3.33.130.190,8.161458554,8.085935119,8.093867166,Seattle
IN-V2-229,meghalaya.gov.in,192.168.7.1,0.232,1.036629391,1.417883953,Kolkata
IN-12,nesac.gov.in,192.168.10.1,0.531437062,0.742549204,1.30626807,Haldia
IN-V2-164,jio.in,121.244.53.25,1.460341229,1.496320229,2.237450448,Ernakulam
IN-V2-208,paytm.in,192.168.0.1,0.590792542,0.35518316,0.351258057,Chennai
IN-V2-208,sbi.co.in,115.114.26.242,2.335734036,2.555555642,2.713146979,Chennai
IN-19,hathway.net,125.16.149.129,7.449917929,7.367331759,7.680386714,Ranchi
IN-V2-51,hathway.net,49.44.187.164,6.756704498,5.734219031,7.163261834,Chennai
IN-V2-229,hathway.net,192.168.7.1,0.445391456,0.527136994,0.81681654,Kolkata
IN-19,hathway.net,192.168.0.1,0.90201341,1.100113298,1.425401768,Ranchi
IN-V2-229,hathway.net,203.171.243.225,2.05278776,2.114950526,2.973523631,Kolkata
IN-2,meghalaya.gov.in,115.244.136.22,32.04401376,30.7714365,32.71704794,Sonipat
IN-47,hathway.net,115.113.247.57,2.889392883,2.414632452,2.910239756,Delhi
IN-17,www.irctc.in,172.31.231.230,11.08752228,11.1003484,10.84051408,Mumbai
IN-V2-134,uidai.gov.in,122.187.95.97,5.098130375,3.988719539,5.19645707,Bangalore
IN-2,meghalaya.gov.in,115.244.136.22,31.4769391,30.63430443,31.93409275,Sonipat
IN-V2-198,sbi.co.in,116.119.61.127,10.41115142,8.775128371,11.20784605,Chennai
IN-31,metro.in,203.129.254.17,1.055502961,0.893308111,1.045058091,Coimbatore
IN-V2-198,jio.in,192.168.1.1,0.232,0.4680841,0.238,Bengaluru
IN-V2-30,hathway.net,192.168.1.1,0.789143514,0.22,0.398457425,Greater Noida
IN-V2-198,startupindia.gov.in,192.168.1.1,0.352033133,0.422960875,0.34273638,Bengaluru
IN-40,hathway.net,203.129.213.253,0.770335071,1.298873774,0.958223962,Ghandinagar
IN-31,airtel.in,192.168.0.2,0.882352728,0.815258141,0.358973868,Coimbatore
IN-47,hathway.net,115.110.210.38,17.41602437,17.11475259,17.31188616,Delhi
IN-V2-249,108.117.11.94,115.117.125.241,3.472902333,2.688910733,4.201624151,Bangalore
IN-31,sbi.co.in,182.79.245.225,16.81114648,16.86875468,17.3358017,Chennai
IN-31,github.com,203.129.254.17,0.232,0.831132329,1.426346009,Coimbatore
IN-28,github.com,203.129.222.145,11.36737769,11.05146501,11.73136012,Chennai
IN-V2-139,google.com,116.119.158.147,25.66474983,25.44280867,25.51828078,Hubballi
IN-57,www.irctc.in,182.72.222.125,6.2147819,6.070853315,6.475544385,Bangalore
IN-V2-198,sbi.co.in,125.18.215.61,5.50872943,3.881560066,6.466522672,Bangalore
IN-19,www.irctc.in,203.129.217.1,1.621442529,1.908606813,2.079567275,Ranchi
IN-V2-134,metro.in,122.187.95.101,6.209775197,5.562224057,6.339824074,Bangalore
IN-V2-249,108.117.11.94,10.100.100.100,1.015921592,1.310182722,1.225232108,Bengaluru
IN-48,hathway.net,14.140.206.25,2.706289592,1.463271414,2.309298211,New Delhi
IN-47,hathway.net,192.168.0.1,1.110843331,0.650578388,1.421749648,Lucknow
IN-V2-229,meghalaya.gov.in,203.171.240.1,2.320915781,2.950159481,2.679431107,Dam Dam
IN-V2-249,uidai.gov.in,59.144.94.26,5.606696786,5.183603642,4.843593125,Bangalore
IN-28,sbi.co.in,203.129.222.145,12.23268335,12.29585296,12.2128177,Chennai
IN-V2-134,sbi.co.in,182.79.245.225,10.25995541,8.696110533,10.52657056,Chennai
IN-V2-51,hathway.net,116.119.109.76,5.496185255,5.258924925,6.025213148,Delhi
IN-V2-208,jio.in,3.33.130.190,1.441312575,1.336246524,0.453989585,Seattle
IN-V2-07,meghalaya.gov.in,172.16.19.5,4.537969257,3.78727738,4.836655913,Kolkata
IN-V2-164,jio.in,150.222.14.43,25.32195758,23.53865149,26.43299181,Singapore
IN-V2-164,sbi.co.in,103.121.26.101,0.243608991,0.849153698,0.238,Thiruvathapuram
IN-31,sbi.co.in,182.79.245.225,16.97409489,17.63437598,17.77121416,Chennai
